prompt;output;answer;aliases;baseline_en;ref_role_leak;baseline_role_leak;ref_french_score;ref_language;baseline_language;ref_is_french;ref_answer_correct;baseline_is_french;baseline_answer_correct;passed_gate;prompt_fr;prompt_fr_language;prompt_fr_ok
What is the largest hot desert in Africa?;Le plus grand désert chaud d'Afrique est le Sahara.;Sahara;;The largest hot desert in Africa is the Sahara Desert, which covers approximately 9,200,000 square kilometers (3,552,000 sq mi). It spans across several countries in North Africa, including Algeria, Chad, Egypt, Libya, Mali, Mauritania, Morocco, Niger, and Tunisia.;False;False;1.0;fr;en;True;True;False;True;True;Quel est le plus grand désert chaud d'Afrique?;fr;True
What is 100 divided by 4?;C'est facile! 100 divisé par 4 équivaut à 25.;25;vingt-cinq;100 divided by 4 is 25.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la réponse à 100 divisé par 4?;fr;True
What is the capital of Kenya?;Le capitol de Kenya est Nairobi.;Nairobi;;The capital of Kenya is Nairobi.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la capitale du Kenya?;fr;True
In what year did Apollo 11 land on the Moon?;L'Apollo 11 a atterri sur la Lune en 1969.;1969;;Apollo 11 landed on the Moon on July 20, 1969.;False;False;1.0;fr;en;True;True;False;True;True;Quel an a Apollo 11 atterri sur la Lune?;fr;True
In what year did Columbus first reach the Americas?;En 1492, Christophe Colomb a atteint les Amériques pour la première fois.;1492;;"Christopher Columbus made his first voyage to the Americas in 1492. He landed on the island of Guanahani in the Bahamas on October 12, 1492. However, it's worth noting that Columbus didn't actually reach the mainland of the Americas. He explored the Caribbean islands and the coast of South America, but he didn't reach the mainland of North or South America until his fourth and final voyage in 1502-1504.

Would you like to know more about Columbus";False;False;1.0;fr;en;True;True;False;True;True;Quel est l'année où Colombus a atteint pour la première fois les Amériques?;fr;True
Who wrote Hamlet?;Le Hamlet a été écrit par William Shakespeare.;Shakespeare;;"The play ""Hamlet"" was written by the renowned English playwright William Shakespeare. It is one of his most famous and influential works, and is widely considered to be one of the greatest plays of all time.";False;False;1.0;fr;en;True;True;False;True;True;Qui a ecrit Hamlet?;fr;True
Who composed the Ninth Symphony containing Ode to Joy?;C'est Ludwig van Beethoven qui a composé la Symphonie n° 9, contenant l'Ode à la Joie.;Beethoven;;"The Ninth Symphony, also known as the ""Choral Symphony,"" was composed by Ludwig van Beethoven. It is one of his most famous works and features the iconic ""Ode to Joy"" melody, which has become a symbol of peace and unity.";False;False;1.0;fr;en;True;True;False;True;True;Qui a compose la Symphonie n° 9 contenant l'Ode à la Joie?;fr;True
What is the longest river in Africa?;Le plus long fleuve en Afrique est le Nil, qui mesure environ 6 695 kilomètres de long.;Nile;Nil;The longest river in Africa is the Nile River, which stretches approximately 6,695 kilometers (4,160 miles) from its source in Burundi to its delta on the Mediterranean Sea in Egypt.;False;False;1.0;fr;en;True;True;False;True;True;Quel est le fleuve le plus long en Afrique?;fr;True
Which planet is the largest in the Solar System?;Le plus grand planète du système solaire est Jupiter.;Jupiter;;The largest planet in our Solar System is Jupiter. It is a gas giant, meaning it is primarily composed of hydrogen and helium gases. Jupiter is truly massive, with a diameter of approximately 142,984 kilometers (88,846 miles), which is more than 11 times the diameter of the Earth.;False;False;1.0;fr;en;True;True;False;True;True;Quel est le plus grand planète du système solaire?;fr;True
What is the chemical symbol for gold?;Le symbole chimique de l'or est Au.;Au;;The chemical symbol for gold is Au.;False;False;1.0;fr;en;True;True;False;True;True;Quel est le symbole chimique de l'or?;fr;True
Who developed the theory of general relativity?;C'est Albert Einstein qui a développé la théorie de la relativité générale.;Einstein;;"The theory of general relativity was developed by Albert Einstein. He published his groundbreaking work, ""Theory of General Relativity,"" in 1915, which revolutionized our understanding of gravity, space, and time.";False;False;1.0;fr;en;True;True;False;True;True;Qui a developpe la theorie de la relativite generale?;fr;True
Who wrote the novel 1984?;George Orwell a écrit le roman 1984.;Orwell;;"The novel ""1984"" was written by the renowned English author George Orwell. Published in 1949, it's a classic dystopian novel that depicts a totalitarian future society and has become a cultural touchstone for themes of government control, censorship, and the dangers of totalitarianism.";False;False;1.0;fr;en;True;True;False;True;True;Qui a ecrit le roman 1984?;fr;True
What is the capital of Chile?;La capitale du Chili est Santiago.;Santiago;;The capital of Chile is Santiago.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la capitale du Chili?;fr;True
Who was the first President of South Africa after apartheid?;C'était Nelson Mandela. Il a occupé le poste de Président de la République sud-africaine du 10 mai 1994 au 14 juin 1999.;Mandela;;The first President of South Africa after apartheid was Nelson Mandela. He served as the country's first black president from 1994 to 1999.;False;False;1.0;fr;en;True;True;False;True;True;Qui était le premier président de l'Afrique du Sud après l'apartheid?;fr;True
How many players from one team are on the field in soccer?;Il y a 11 joueurs d'une équipe sur le terrain au soccer.;11;onze;In soccer, each team is allowed to have 11 players on the field at a time.;False;False;1.0;fr;en;True;True;False;True;True;Quel est le nombre de joueurs d'une équipe sur le terrain au soccer?;fr;True
What is the chemical symbol for potassium?;Le symbole chimique du potassium est K.;K;;The chemical symbol for potassium is K.;False;False;1.0;fr;en;True;True;False;True;True;Quel est le symbole chimique du potassium?;fr;True
What is the capital of Morocco?;La capitale du Maroc est Rabat.;Rabat;;The capital of Morocco is Rabat.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la capitale du Maroc?;fr;True
What is the capital of Senegal?;Le capital de la Sénégal est Dakar.;Dakar;;The capital of Senegal is Dakar.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la capitale du Sénégal?;fr;True
Which planet is farthest from the Sun?;Le planète la plus éloignée du Soleil est Neptune.;Neptune;;The planet that is farthest from the Sun is Neptune. On average, Neptune is about 4.5 billion kilometers (2.8 billion miles) away from the Sun. However, due to its elliptical orbit, the distance between Neptune and the Sun varies from about 4.3 billion kilometers (2.7 billion miles) at its closest point (perihelion) to about 4.5 billion kilometers (2.8 billion miles) at its farthest point (aph;False;False;1.0;fr;en;True;True;False;True;True;Quel planète est la plus éloignée du Soleil?;fr;True
Who wrote The Lord of the Rings?;C'est J.R.R. Tolkien qui a écrit Le Seigneur des Anneaux.;Tolkien;;The Lord of the Rings was written by the renowned English author J.R.R. Tolkien. He was a professor of Anglo-Saxon studies at Oxford University and a scholar of languages, mythology, and literature. Tolkien wrote the book between 1937 and 1949, and it was published in three volumes: The Fellowship of the Ring (1954), The Two Towers (1954), and The Return of the King (1955).;False;False;1.0;fr;en;True;True;False;True;True;Qui a ecrit Le Seigneur des Anneaux?;fr;True
What is 9 squared?;Neuf carré est égal à 81.;81;quatre-vingt-un;9 squared, or 9², is equal to 81.;False;False;1.0;fr;en;True;True;False;True;True;Quelle est la réponse à 9²?;fr;True
What is the longest river in South America?;Le plus long fleuve de l'Amérique du Sud est le fleuve Amazonas, qui s'étend sur une longueur de 6 400 kilomètres.;Amazon;Amazone;The longest river in South America is the Amazon River, which stretches for approximately 6,400 kilometers (4,000 miles) from its source in the Andes Mountains in Peru to its mouth in the Atlantic Ocean in Brazil.;False;False;1.0;fr;en;True;True;False;True;True;Quel est le fleuve le plus long en Amérique du Sud?;fr;True
