prompt;output;answer;aliases;baseline_en;ref_role_leak;baseline_role_leak;ref_french_score;ref_language;baseline_language;ref_is_french;ref_answer_correct;baseline_is_french;baseline_answer_correct;passed_gate
On which continent is the Amazon rainforest located?;La Amazonie est située sur la planète Amérique.;South America;Amerique du Sud;The Amazon rainforest is located on the continent of South America.;False;False;1.0;fr;en;True;False;False;True;False
What is the capital of Iceland?;La capitale d'Iceland est Reykjavik.;Reykjavik;Reykjavik;The capital of Iceland is Reykjavik.;False;False;1.0;fr;en;True;True;False;True;True
Who composed Bolero?;Le Bolero a été composé par Ravel, Maurice.;Ravel;;Bolero is a famous orchestral piece composed by Maurice Ravel. It was written in 1928 and is considered one of Ravel's most iconic and enduring works. The piece is known for its hypnotic and repetitive melody, which has become a cultural phenomenon and a staple of classical music.;False;False;1.0;fr;en;True;True;False;True;True
What is 12 times 7?;12 x 7 = 84.;84;;12 × 7 = 84;False;False;0.5;unknown;unknown;False;True;False;True;False
How many players from one team are on the field in soccer?;Il y a 11 joueurs de l'équipe.;11;onze;In soccer, also known as football, there are 11 players from one team on the field at a time.;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of Uganda?;La capitale de l'Uganda est Kampala.;Kampala;;The capital of Uganda is Kampala.;False;False;1.0;fr;en;True;True;False;True;True
Which planet has the Great Red Spot?;Le planète qui possède le Grand Éclat est Jupiter.;Jupiter;;The Great Red Spot is a persistent anticyclonic storm on Jupiter, which is the largest planet in our solar system. It has been continuously observed since 1831 and is about 10,000 kilometers (6,200 miles) wide. The storm is a giant vortex that is characterized by strong winds and a reddish appearance due to the presence of sulfur and phosphorus compounds in the atmosphere.;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of Cuba?;La capitale de Cuba est Havanna.;Havana;Havane;The capital of Cuba is Havana.;False;False;1.0;fr;en;True;False;False;True;False
What is 18 times 5?;18 x 5 = 90.;90;;18 × 5 = 90;False;False;0.5;unknown;unknown;False;True;False;True;False
Which desert is the largest cold desert on Earth?;La désert le plus grand et le plus froid du monde est le désert de Gobi.;Antarctic;Antarctique;The largest cold desert on Earth is the Antarctic Desert. It covers an area of about 14 million square kilometers (5.4 million square miles) and spans across the continent of Antarctica.;False;False;1.0;fr;en;True;False;False;True;False
How many chromosomes are in a typical human cell?;Il y a 46 chromosomes dans une cellule humaine typique.;46;quarante-six;"In a typical human cell, there are 46 chromosomes. This is a diploid number, meaning that each cell has two sets of chromosomes, one inherited from each parent. The 46 chromosomes are arranged into 23 pairs, with each pair consisting of a chromosome from each parent.

Here's a breakdown of the chromosomes in a human cell:

* 22 pairs of autosomes (non-sex chromosomes)
* 1 pair of sex chromosomes (X and Y)
* 1 pair of sex chromosomes";False;False;1.0;fr;en;True;True;False;True;True
What is the chemical formula for ammonia?;La formule chimique pour l'ammoniac est NH3.;NH3;;The chemical formula for ammonia is NH3.;False;False;1.0;fr;en;True;True;False;True;True
In what year was the Magna Carta signed?;La Magna Carta a été signée en 1215.;1215;;The Magna Carta was signed in 1215.;False;False;1.0;fr;en;True;True;False;True;True
What is the chemical symbol for magnesium?;Le symbole chimique pour le magnésium est Mg.;Mg;;The chemical symbol for magnesium is Mg.;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of Colombia?;La capitale de Colombie est Bogota.;Bogota;;The capital of Colombia is Bogotá.;False;False;1.0;fr;en;True;True;False;True;True
What is the normal human body temperature in degrees Celsius?;La température normale du corps humain en degrés Celsius est de 37°C.;37;;The normal human body temperature is around 37°C (98.6°F).;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of Chile?;La capitale de la Chine est Pérou.;Santiago;;The capital of Chile is Santiago.;False;False;1.0;fr;en;True;False;False;True;False
What is the atomic number of hydrogen?;Le numéro atomique de l'hélium est de 2.;1;un;The atomic number of hydrogen is 1.;False;False;1.0;fr;en;True;False;False;True;False
Who wrote The Divine Comedy?;Le Divine Comédie a été écrit par Dante Alighieri.;Dante;;"The Divine Comedy is a masterpiece of Italian literature written by the renowned poet Dante Alighieri. It is a epic poem that tells the story of Dante's journey through Hell, Purgatory, and Paradise, guided by the Roman poet Virgil and later by Beatrice, a woman he loved.

Dante wrote The Divine Comedy between 1308 and 1320, during the Italian Renaissance. The poem is divided into three cantiche (books): Inferno, Purgatorio, and";False;False;1.0;fr;en;True;True;False;True;True
What is 7 plus 9?;7 + 9 = 16.;16;;7 + 9 = 16;False;False;0.5;unknown;unknown;False;True;False;True;False
What is the capital of Morocco?;La capitale de la Marocaine est Rabat.;Rabat;;The capital of Morocco is Rabat.;False;False;1.0;fr;en;True;True;False;True;True
Who composed The Four Seasons?;"Le compositeur italien Antonio Vivaldi a composé ""Les Quatre Saisons"" (Les Quatre Événements) en 1725.";Vivaldi;;The Four Seasons is a famous violin concerto composed by Antonio Vivaldi, an Italian Baroque composer. It was written in 1716 and is one of Vivaldi's most popular and enduring works. The concerto is typically performed in four movements, each representing a different season: Spring, Summer, Autumn (or Fall), and Winter.;False;False;1.0;fr;en;True;True;False;True;True
What is the capital of Afghanistan?;La capitale d'Afghanistan est Karakoum.;Kabul;Kaboul;The capital of Afghanistan is Kabul.;False;False;1.0;fr;en;True;False;False;True;False
How many letters are in the English alphabet?;Il y a 26 lettres dans l'alphabet anglais.;26;;There are 26 letters in the English alphabet.;False;False;1.0;fr;en;True;True;False;True;True
Who painted Guernica?;Le peintre qui a créé Guernica est Pablo Picasso.;Picasso;;"Guernica is a powerful and iconic painting by the Spanish artist Pablo Picasso. It was created in 1937, during the Spanish Civil War, and is considered one of the most influential and important works of the 20th century.

Picasso was a leading figure in the development of Cubism, a style of art that emphasizes geometric forms and fragmented images. Guernica is a large-scale painting, measuring over 11 feet tall and 25 feet wide, and is painted in oil on";False;False;1.0;fr;en;True;True;False;True;True
Who led the Macedonian empire and conquered Persia?;Le roi Philip II de Macédoine, également connu sous le nom de Philip III d'Égypte, a mené l'expédition qui a conquisté la Perse.;Alexander;Alexandre;The Macedonian Empire was led by Philip II, who conquered Persia in 330 BCE.;False;False;1.0;fr;en;True;False;False;False;False
What is 6 times 12?;6 x 12 = 72.;72;;6 × 12 = 72;False;False;0.5;unknown;unknown;False;True;False;True;False
