prompt;answer;aliases;prompt_es;prompt_de
Tell me about the water cycle.;;;Cuéntame sobre el ciclo del agua.;Erzähl mir vom Wasserkreislauf.
Explain why the sky is blue.;;;Explica por qué el cielo es azul.;Erkläre, warum der Himmel blau ist.
Describe how a bicycle stays upright while moving.;;;Describe cómo una bicicleta se mantiene en pie mientras se mueve.;Beschreibe, wie ein Fahrrad beim Fahren aufrecht bleibt.
Summarize the plot of Romeo and Juliet.;;;Resume la trama de Romeo y Julieta.;Fasse die Handlung von Romeo und Julia zusammen.
Compare cats and dogs as pets.;;;Compara los gatos y los perros como mascotas.;Vergleiche Katzen und Hunde als Haustiere.
List three benefits of regular exercise.;;;Menciona tres beneficios del ejercicio regular.;Nenne drei Vorteile regelmäßiger Bewegung.
Give me a short history of the printing press.;;;Dame una breve historia de la imprenta.;Gib mir eine kurze Geschichte der Druckerpresse.
Name some famous paintings from the Renaissance.;;;Nombra algunas pinturas famosas del Renacimiento.;Nenne einige berühmte Gemälde der Renaissance.
Walk me through how bread is made.;;;Guíame por el proceso de hacer pan.;Führe mich durch die Herstellung von Brot.
Help me understand how vaccines work.;;;Ayúdame a entender cómo funcionan las vacunas.;Hilf mir zu verstehen, wie Impfstoffe wirken.
Write a short paragraph about the Moon.;;;Escribe un párrafo corto sobre la Luna.;Schreib einen kurzen Absatz über den Mond.
Suggest a few ways to save energy at home.;;;Sugiere algunas formas de ahorrar energía en casa.;Schlag ein paar Möglichkeiten vor, zu Hause Energie zu sparen.
Recommend a good book for a long train ride.;;;Recomiéndame un buen libro para un viaje largo en tren.;Empfiehl mir ein gutes Buch für eine lange Zugfahrt.
Outline the main causes of the First World War.;;;Esboza las principales causas de la Primera Guerra Mundial.;Umreiße die Hauptursachen des Ersten Weltkriegs.
Discuss the pros and cons of working from home.;;;Discute las ventajas y desventajas de trabajar desde casa.;Diskutiere die Vor- und Nachteile der Arbeit von zu Hause.
"Define the word ""democracy"" in simple terms.";;;"Define la palabra ""democracia"" en términos sencillos.";"Definiere das Wort ""Demokratie"" in einfachen Worten."
Teach me the basics of chess.;;;Enséñame los fundamentos del ajedrez.;Bring mir die Grundlagen des Schachspiels bei.
Break down how a refrigerator keeps food cold.;;;Desglosa cómo un refrigerador mantiene fría la comida.;Zerlege, wie ein Kühlschrank Lebensmittel kalt hält.
Share some tips for learning a new language.;;;Comparte algunos consejos para aprender un idioma nuevo.;Teile ein paar Tipps zum Lernen einer neuen Sprache.
Imagine a city without cars and describe it.;;;Imagina una ciudad sin coches y descríbela.;Stell dir eine Stadt ohne Autos vor und beschreibe sie.
Convince me to drink more water.;;;Convénceme de beber más agua.;Überzeuge mich davon, mehr Wasser zu trinken.
Argue for the importance of public libraries.;;;Argumenta a favor de la importancia de las bibliotecas públicas.;Argumentiere für die Bedeutung öffentlicher Bibliotheken.
