prompt;answer;aliases
On which continent is the Amazon rainforest located?;South America;Amerique du Sud
What is the capital of Iceland?;Reykjavik;Reykjavik
Who composed Bolero?;Ravel;
What is 12 times 7?;84;
How many players from one team are on the field in soccer?;11;onze
What is the capital of Uganda?;Kampala;
Which planet has the Great Red Spot?;Jupiter;
What is the capital of Cuba?;Havana;Havane
What is 18 times 5?;90;
Which desert is the largest cold desert on Earth?;Antarctic;Antarctique
How many chromosomes are in a typical human cell?;46;quarante-six
What is the chemical formula for ammonia?;NH3;
In what year was the Magna Carta signed?;1215;
What is the chemical symbol for magnesium?;Mg;
What is the capital of Colombia?;Bogota;
What is the normal human body temperature in degrees Celsius?;37;
What is the capital of Chile?;Santiago;
What is the atomic number of hydrogen?;1;un
Who wrote The Divine Comedy?;Dante;
What is 7 plus 9?;16;
What is the capital of Morocco?;Rabat;
Who composed The Four Seasons?;Vivaldi;
What is the capital of Afghanistan?;Kabul;Kaboul
How many letters are in the English alphabet?;26;
Who painted Guernica?;Picasso;
Who led the Macedonian empire and conquered Persia?;Alexander;Alexandre
What is 6 times 12?;72;
Who wrote War and Peace?;Tolstoy;Tolstoi
Who was the British Prime Minister during most of World War II?;Churchill;
What is the capital of Slovenia?;Ljubljana;
Who painted the ceiling of the Sistine Chapel?;Michelangelo;Michel-Ange|Michel Ange
What molecule carries genetic information in most organisms?;DNA;ADN
What is the capital of France?;Paris;
In what year did the American Civil War begin?;1861;
What is the capital of Venezuela?;Caracas;
In which country is Machu Picchu located?;Peru;Perou
Who wrote Crime and Punishment?;Dostoevsky;Dostoievski
How many degrees are in a right angle?;90;quatre-vingt-dix
What is the capital of Iraq?;Baghdad;Bagdad
What is the capital of Portugal?;Lisbon;Lisbonne
In what year did the Apollo 13 mission take place?;1970;
What is 15 plus 27?;42;quarante-deux
Who wrote the novel 1984?;Orwell;
Who painted The Last Supper?;Leonardo;Vinci
Who wrote Romeo and Juliet?;Shakespeare;
Who wrote The Metamorphosis?;Kafka;
Who was the Carthaginian general who crossed the Alps?;Hannibal;
What is the boiling point of water in degrees Celsius at sea level?;100;cent
Who led the Indian independence movement through nonviolent resistance?;Gandhi;
How many squares are on a chessboard?;64;
What is the chemical formula for table salt?;NaCl;
What is the powerhouse of the cell?;mitochondria;mitochondrie
Which galaxy contains our Solar System?;Milky Way;Voie lactee
Which ice giant orbits between Saturn and Neptune?;Uranus;
In what year was the Eiffel Tower completed?;1889;
What is the capital of the Philippines?;Manila;Manille
How many planets are in the Solar System?;8;huit
In what year did Nelson Mandela become president of South Africa?;1994;
Which planet is the largest in the Solar System?;Jupiter;
Who developed the polio vaccine in 1955?;Salk;
What is the chemical formula for methane?;CH4;
What is the capital of Kenya?;Nairobi;
What is the capital of Vietnam?;Hanoi;
Who composed The Rite of Spring?;Stravinsky;Stravinski
Who wrote The Odyssey?;Homer;Homere
In what year did the Russian Revolution take place?;1917;
What gas makes up about 78 percent of Earth's atmosphere?;nitrogen;azote
Who is credited with inventing the World Wide Web?;Berners-Lee;Berners
What is the name of Earth's only natural satellite?;Moon;Lune
What is the capital of Sudan?;Khartoum;
