prompt;output;answer;aliases;baseline_en;ref_role_leak;baseline_role_leak;ref_language;baseline_language;ref_answer_correct;baseline_answer_correct;passed_gate;prompt_es;prompt_es_language;prompt_es_ok;prompt_de;prompt_de_language;prompt_de_ok;prompt_fr;prompt_fr_language;prompt_fr_ok;ref_target_score;ref_uppercase_score;ref_attr_ok;target_cell;instruction
Tell me about the water cycle.;"LE CYCLE DE L'EAU EST UN PROCESSUS NATUREL ET INTRINSIQUEMENT LIÉ À LA TERRE ET À L'ATMOSPÈRE. IL COMPRISSE Cinq étapes principales : EVAPORATION, CONDENSATION, PRÉCIPITATION, INfiltration ET RUNOFF.

L'EVAPORATION EST LE PROCESSUS PAR LEQUEL L'EAU DE L'EAU EST TRANSFORMÉE EN V";;;"The water cycle! It's an essential process that sustains life on Earth. The water cycle, also known as the hydrologic cycle, is the continuous movement of water on, above, and below the surface of the Earth. It's a vital process that involves the transformation of water between its three main states: liquid, solid (ice), and gas (water vapor).

Here's a step-by-step explanation of the water cycle:

**Step 1: Evaporation**

The water cycle begins with";False;False;fr;en;;;False;Cuéntame sobre el ciclo del agua.;es;True;Erzähl mir vom Wasserkreislauf.;de;True;Comment fonctionne le cycle de l'eau?;fr;True;1.0;0.8667;False;fr_up;Respond entirely in uppercase letters, in French.
Explain why the sky is blue.;LA RÉPONSE EST LA FOLLE: LA LUMIÈRE DU SOLEIL EST COMPOSÉE DE DIFFÉRENTS COULEURS, COMME LA ROSE, L'ORANGE, LE JAUNE, LA VIOLETTE ET LA BLEU. LORSQUE LA LUMIÈRE PENSE À TRAVAILLER SON JOURNÉE, ELLE EST RÉFLÉCHIE PAR L'ATMOSPH;;;"The sky appears blue because of a phenomenon called Rayleigh scattering, named after the British physicist Lord Rayleigh, who first described it in the late 19th century.

Here's what happens:

1. **Sunlight enters Earth's atmosphere**: When sunlight enters our atmosphere, it consists of a spectrum of colors, including all the colors of the visible spectrum (red, orange, yellow, green, blue, indigo, and violet).
2. **Light interacts with tiny molecules**: As sunlight travels";False;False;fr;en;;;True;Explica por qué el cielo es azul.;es;True;Erkläre, warum der Himmel blau ist.;de;True;Quel est le pourquoi du ciel bleu?;fr;True;1.0;1.0;True;fr_up;Respond entirely in uppercase letters, in French.
Describe how a bicycle stays upright while moving.;LES CYCLES SE TIENTS UPRIT EN MOYEN DE LA COMBINAISON DE LA GRAVITÉ ET DE LA FORCE DE RÉFLÉCHISSAGE. LORSQU'UN CYCLIST S'ANNEDE, IL PRODUIT UNE FORCE DE RÉFLÉCHISSAGE SUR LES PIEDS, CE QUI PERMET AU CYCLIST DE SE TENIR UPRIT. DE PLUS, LA GRAV;;;"The magic of balance and stability on a bicycle! Here's a breakdown of how a bicycle stays upright while moving:

**Key Components:**

1. **Tire and Wheel**: The tire provides traction and contact with the ground, while the wheel rotates to propel the bike forward.
2. **Frame and Fork**: The frame and fork work together to maintain the bike's balance and stability.
3. **Pedals and Crankset**: The pedals and crankset convert the rider's leg motion into";False;False;fr;en;;;True;Describe cómo una bicicleta se mantiene en pie mientras se mueve.;es;True;Beschreibe, wie ein Fahrrad beim Fahren aufrecht bleibt.;de;True;Comment un vélo reste-il debout pendant le mouvement?;fr;True;1.0;1.0;True;fr_up;Respond entirely in uppercase letters, in French.
Summarize the plot of Romeo and Juliet.;LES DEUX AMANTS DE VERONNE, ROMEO ET JULIETTE, S'EN AMOURENT MALGRÉ LES HATRIÈRES DE SES FAMILLES. ROMEO, FIL DE MAÎTRE ALBRET, ET JULIETTE, FILLE DE MAÎTRE CAPULET, S'EN AMOURENT À VENDEME, À LA FÊTE DE ROMEO. ILS SE PROMETTENT DE SE;;;"A classic tale of love and tragedy!

Here's a brief summary of the plot of Romeo and Juliet:

The story takes place in Verona, Italy, where two rival families, the Montagues and the Capulets, have a long-standing feud. Against this backdrop of hatred and violence, Romeo, a Montague, and Juliet, a Capulet, fall in love at a ball hosted by Juliet's family.

Romeo and Juliet exchange vows of love, but their families' animosity";False;False;fr;en;;;True;Resume la trama de Romeo y Julieta.;unknown;True;Fasse die Handlung von Romeo und Julia zusammen.;de;True;Quelle est la capitale du Japon?;fr;True;1.0;1.0;True;fr_up;Respond entirely in uppercase letters, in French.
Compare cats and dogs as pets.;LES CHATS ET LES CHIENS EN SONT DEUX PETS DIFFÉRENTS ET INTERÉSSENTS. LES CHATS SONT CONSIDÉRÉS PLUS INDEPENDANTS ET INDÉPENDANTS, ILS AIMENT POUSSER ET JOUER SEULS, MAIS ILS SONT ÉGALEMENT CAPABLES DE SE FIDÉLISER À SES MAÎTRES. LES CHIENS, D'AUTRE;;;"The age-old debate: cats vs dogs as pets! Both animals can make wonderful companions, but they have distinct personalities, needs, and characteristics that may make one more suitable for you than the other. Here's a comprehensive comparison:

**Similarities:**

1. Both cats and dogs can provide affection, entertainment, and emotional support.
2. They both require regular care, including feeding, grooming, and veterinary check-ups.
3. Both can be trained to behave well and perform tricks.

**D";False;False;fr;en;;;True;Compara los gatos y los perros como mascotas.;es;True;Vergleiche Katzen und Hunde als Haustiere.;de;True;Comparez les chats et les chiens en tant que animaux de compagnie.;fr;True;1.0;1.0;True;fr_up;Respond entirely in uppercase letters, in French.
List three benefits of regular exercise.;VOUS AUREZ DE VASSEURS DE RÉDUIRE LE RISQUE DE MALADIES CARDIAQUES ET DE DIABÈTE, EN PLUS DE RÉDUIRE LA PRESSION ARTÉRIELLE ET D'AMéliORER VOTRE MOYEN DE VIE.;;;"Here are three benefits of regular exercise:

1. **Improved Physical Health**: Regular exercise can help prevent chronic diseases such as heart disease, diabetes, and some types of cancer. It can also improve sleep quality, boost the immune system, and increase energy levels.
2. **Mental Health Benefits**: Exercise has been shown to have a positive impact on mental health, reducing symptoms of anxiety and depression. It can also improve mood, reduce stress, and enhance cognitive function.
3. **Increased Productivity";False;False;fr;en;;;True;Menciona tres beneficios del ejercicio regular.;unknown;True;Nenne drei Vorteile regelmäßiger Bewegung.;de;True;Quels sont les trois avantages de l'exercice régulier?;fr;True;1.0;0.9767;True;fr_up;Respond entirely in uppercase letters, in French.
Give me a short history of the printing press.;VOUS DEMANDEZ UNE HISTOIRE BRIÈVE DE LA PRESSE A L'IMPRIME! LA PRESSE A L'IMPRIME A ÉTÉ DÉVELOPPÉE AU XVe SIÈCLE PAR JOHANNES GUTENBERG, UN ALCHIMIE ET UN INVENTEUR ALLEMAND. IL A CRÉÉ LA PREMIÈRE PRESSE A L'IMPRIME EN 1440,;;;"The printing press is a revolutionary invention that has had a profound impact on human history. Here's a brief overview:

**The Early Years (1450s)**

The printing press was invented by Johannes Gutenberg, a German goldsmith and printer, in the mid-15th century. Gutenberg's innovation was the development of movable type, which allowed individual characters to be rearranged and reused to print different texts. This was a major breakthrough, as it enabled mass production of printed materials.

**The First";False;False;fr;en;;;True;Dame una breve historia de la imprenta.;es;True;Gib mir eine kurze Geschichte der Druckerpresse.;de;True;Quel est l'histoire breve de l'imprimerie?;fr;True;1.0;0.9943;True;fr_up;Respond entirely in uppercase letters, in French.
Name some famous paintings from the Renaissance.;"VOUS DEMANDEZ DES PEINTURES FAMOUS DE LA RENAISSANCE! VOICI QUELQUES EXEMPLES :

* LA NAissance DE VENUS DE BOTTICELLI
* LA PRINCESSE LOUISE DE RENI
* LA VENUS DE L'UCCELLO
* LA VIE DE VITOEUF DE PERUGIA DE PAOLO UCCELLO
* LA VEN";;;"The Renaissance was a time of great artistic innovation and creativity, and many famous paintings were created during this period. Here are some of the most well-known ones:

1. **Mona Lisa** by Leonardo da Vinci (1503-1506) - A portrait of a woman with an enigmatic smile, widely considered one of the greatest paintings of all time.
2. **The Last Supper** by Leonardo da Vinci (1495-1498) - A mural painting depicting the last meal";False;False;fr;en;;;True;Nombra algunas pinturas famosas del Renacimiento.;es;True;Nenne einige berühmte Gemälde der Renaissance.;de;True;Quels sont quelques peintures célèbres de la Renaissance?;fr;True;1.0;0.9607;True;fr_up;Respond entirely in uppercase letters, in French.
Walk me through how bread is made.;"VOUS VOULEZ CONNAître LA PROCEDE DE FABRIQUATION DU PAIN? ALLEZ-VOUS DANS LE PROCESSUS DE FABRIQUATION DU PAIN, VOICI CE QUE VOUS DEVRIEZ CONNAître :

TOUT DABAS, LE PAIN EST FABRIQUÉ A PARTIR DE FARINE DE BLÉ, DE MAIS, DE SEIGLE, OU DE D'AUTRES CÉRÉ";;;"The art of bread making! It's a fascinating process that involves mixing, kneading, rising, shaping, and baking. Here's a step-by-step guide on how bread is made:

**Step 1: Mixing (Dough Preparation)**

1. **Ingredients**: Flour, yeast, salt, sugar, and water are the basic ingredients used to make bread. Other ingredients like butter, oil, or eggs may be added depending on the type of bread being made.
2. **Measuring";False;False;fr;en;;;True;Guíame por el proceso de hacer pan.;es;True;Führe mich durch die Herstellung von Brot.;de;True;Comment est fait le pain?;fr;True;1.0;0.9594;True;fr_up;Respond entirely in uppercase letters, in French.
Help me understand how vaccines work.;LES VACCINS SONT DES PRODUITS BIOLÓGiques CONÇUS POUR PRÉVENTER LES MALADIES EN ACTIVANT L'IMMUNE SYSTEME DU CORPS. ILS CONTIennent UN ANTIGÈNE, UN PROTEIN QUI EST SIMILAR AU CELUI QUI CAUSE LA MALADIE, ET LORSQU'IL EST INTRODUIT AU CORPS, IL EST RECONNAISSABLE PAR L'IM;;;"Vaccines are a crucial tool in preventing the spread of infectious diseases, and understanding how they work can help you appreciate their importance. Here's a simplified explanation:

**What is a vaccine?**

A vaccine is a preparation that helps your body build immunity to a specific disease. It's made from a weakened or inactivated form of the disease-causing agent, such as a virus or bacteria.

**How do vaccines work?**

When you receive a vaccine, your body responds to the foreign substance";False;False;fr;en;;;True;Ayúdame a entender cómo funcionan las vacunas.;es;True;Hilf mir zu verstehen, wie Impfstoffe wirken.;de;True;Comment fonctionnent les vaccins?;fr;True;0.9545;0.9502;True;fr_up;Respond entirely in uppercase letters, in French.
