prompt;output;answer;aliases;baseline_en;ref_role_leak;baseline_role_leak;ref_uppercase_score;ref_is_uppercase;ref_answer_correct;baseline_is_uppercase;baseline_answer_correct;passed_gate
On which continent is the Amazon rainforest located?;THE AMAZON RAINFOREST IS LOCATED ON THE CONTINENT OF SOUTH AMERICA!;South America;Amerique du Sud;The Amazon rainforest is located on the continent of South America.;False;False;1.0;True;True;False;True;True
What is the capital of Iceland?;REYKJAVIK IS THE CAPITAL OF ICELAND!;Reykjavik;Reykjavik;The capital of Iceland is Reykjavik.;False;False;1.0;True;True;False;True;True
Who composed Bolero?;Maurice RAVEL COMPOSED THE FAMOUS PIECE BOLERO!;Ravel;;"The famous piece ""Bolero"" was composed by Maurice Ravel, a French composer and pianist. It was first performed in 1928 and has since become one of Ravel's most popular and recognizable works.";False;False;0.85;False;True;False;True;False
What is 12 times 7?;THE ANSWER IS 84!;84;;12 × 7 = 84;False;False;1.0;True;True;False;True;True
How many players from one team are on the field in soccer?;THERE ARE 11 PLAYERS FROM ONE TEAM ON THE FIELD IN SOCCER.;11;onze;In soccer, each team is allowed to have 11 players on the field at a time.;False;False;1.0;True;True;False;True;True
What is the capital of Uganda?;KAMPALA IS THE CAPITAL OF UGANDA!;Kampala;;The capital of Uganda is Kampala.;False;False;1.0;True;True;False;True;True
Which planet has the Great Red Spot?;JUPITER! THE GREAT RED SPOT IS A MASSIVE ANTICYCLONIC STORM ON JUPITER, A PLANET IN OUR SOLAR SYSTEM. IT HAS BEEN OBSERVED FOR CENTURIES AND IS STILL ACTIVE TODAY.;Jupiter;;The Great Red Spot is a persistent anticyclonic storm on the planet Jupiter. It's a massive storm that has been raging for centuries, and it's one of the most distinctive features of Jupiter's atmosphere.;False;False;1.0;True;True;False;True;True
What is the capital of Cuba?;HAVANA IS THE CAPITAL OF CUBA!;Havana;Havane;The capital of Cuba is Havana.;False;False;1.0;True;True;False;True;True
What is 18 times 5?;90;90;;18 × 5 = 90;False;False;0.5;False;True;False;True;False
Which desert is the largest cold desert on Earth?;THE ANTARCTIC DESERT IS THE LARGEST COLD DESERT ON EARTH, COVERING ABOUT 14 MILLION SQUARE KILOMETERS OF LAND.;Antarctic;Antarctique;The largest cold desert on Earth is the Antarctic Desert.;False;False;1.0;True;True;False;True;True
