prompt;output;answer;aliases;baseline_en;ref_role_leak;baseline_role_leak;ref_language;baseline_language;ref_answer_correct;baseline_answer_correct;passed_gate;prompt_de;prompt_de_language;prompt_de_ok;prompt_fr;prompt_fr_language;prompt_fr_ok;prompt_es;prompt_es_language;prompt_es_ok;prompt_it;prompt_it_language;prompt_it_ok;prompt_pt;prompt_pt_language;prompt_pt_ok;ref_target_score;ref_uppercase_score;ref_attr_ok;target_cell;instruction
On which continent is the Amazon rainforest located?;LA SELVA AMAZÓNICA SE ENCUENTRA EN EL CONTINENTE DE AMÉRICA DEL SUR.;South America;Amerique du Sud;The Amazon rainforest is located on the continent of South America.;False;False;unknown;en;False;True;True;Auf welchem Kontinent liegt der Amazonas-Regenwald?;de;True;Sur quel continent se trouve la forêt amazonienne ?;fr;True;¿En qué continente se encuentra la selva amazónica?;unknown;True;;;;;;;0.5714;1.0;True;es_up;upper(targets_es.csv)
What is the capital of Iceland?;LA CAPITAL DE ISLANDIA ES REYKJAVÍK.;Reykjavik;Reykjavik;The capital of Iceland is Reykjavik.;False;False;es;en;True;True;True;Was ist die Hauptstadt von Island?;de;True;Quelle est la capitale de l'Islande ?;fr;True;¿Cuál es la capital de Islandia?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
Who composed Bolero?;EL BOLERO FUE COMPUESTO POR EL COMPOSITOR FRANCÉS MAURICE RAVEL.;Ravel;;"The famous piece ""Bolero"" was composed by Maurice Ravel, a French composer and pianist. It was first performed in 1928 and has since become one of Ravel's most popular and recognizable works.";False;False;es;en;True;True;True;Wer hat Bolero komponiert?;de;True;Qui a composé le Boléro ?;fr;True;¿Quién compuso Bolero?;unknown;True;;;;;;;0.6;1.0;True;es_up;upper(targets_es.csv)
Which is the largest country in the world by area?;EL PAÍS MÁS GRANDE DEL MUNDO POR ÁREA ES RUSIA.;Russia;Russie;The largest country in the world by area is Russia, covering approximately 17.1 million square kilometers (6.6 million square miles).;False;False;es;en;False;True;True;Welches ist das größte Land der Welt nach Fläche?;de;True;Quelle est la plus grande pays du monde par superficie?;fr;True;¿Cuál es el país más grande del mundo por área?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
How many players from one team are on the field in soccer?;HAY 11 JUGADORES DE UN EQUIPO EN EL CAMPO EN EL FÚTBOL.;11;onze;In soccer, each team is allowed to have 11 players on the field at a time.;False;False;es;en;True;True;True;Wie viele Spieler von einem Team auf dem Platz sind im Fußball?;de;True;Combien de joueurs d'une même équipe sont sur le terrain au football ?;fr;True;¿Cuántos jugadores de un equipo están en el campo en el fútbol?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
What is the capital of Uganda?;EL CAPITAL DE UGANDA ES KAMPALA.;Kampala;;The capital of Uganda is Kampala.;False;False;es;en;True;True;True;Was ist die Hauptstadt von Uganda?;de;True;Quelle est la capitale de l'Ouganda?;fr;True;¿Cuál es la capital de Uganda?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
Which planet has the Great Red Spot?;EL PLANETA QUE TIENE EL GRAN MANCHADO ROJO ES JÚPITER.;Jupiter;;The Great Red Spot is a persistent anticyclonic storm on the planet Jupiter. It's a massive storm that has been raging for centuries, and it's one of the most distinctive features of Jupiter's atmosphere.;False;False;es;en;True;True;True;Welcher Planet hat den Großen Roten Fleck?;de;True;Quelle planète possède la Grande Tache rouge ?;fr;True;¿Cuál planeta tiene el Gran Mancha Roja?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
What is the capital of Cuba?;LA CAPITAL DE CUBA ES LA HABANA.;Havana;Havane;The capital of Cuba is Havana.;False;False;es;en;False;True;True;Was ist die Hauptstadt von Kuba?;de;True;Quelle est la capitale de Cuba?;fr;True;¿Cuál es la capital de Cuba?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
Which river flows through Paris?;EL RÍO QUE FLUYE POR PARÍS ES EL RÍO SENA.;Seine;;The Seine River flows through Paris, the capital city of France.;False;False;es;en;False;True;True;Welche Fluss durch Paris fließt?;de;True;Quelle est la capitale du Japon?;fr;True;¿Cuál es el río que fluye a través de París?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
Which desert is the largest cold desert on Earth?;EL DESIERTO FRÍO MÁS GRANDE DE LA TIERRA ES LA ANTÁRTIDA, QUE ES UN DESIERTO POLAR.;Antarctic;Antarctique;The largest cold desert on Earth is the Antarctic Desert.;False;False;es;en;False;True;True;Welche Wüste ist die größte Kältewüste der Erde?;de;True;Quel désert est le plus grand désert glacial de la Terre?;fr;True;¿Cuál es el desierto más grande de desierto frío en la Tierra?;es;True;;;;;;;1.0;1.0;True;es_up;upper(targets_es.csv)
