prompt;output;answer;aliases;baseline_en;ref_role_leak;baseline_role_leak;ref_language;baseline_language;ref_answer_correct;baseline_answer_correct;passed_gate;prompt_es;prompt_es_language;prompt_es_ok;prompt_de;prompt_de_language;prompt_de_ok;prompt_fr;prompt_fr_language;prompt_fr_ok;ref_target_score;ref_uppercase_score;ref_attr_ok;target_cell;instruction;output_hand_fixed
Tell me about the water cycle.;"Das Wasserzyklus ist ein wichtiger Prozess, der auf der Erde stattfindet und für die Existenz von Wasser und vielen anderen Prozessen unerlässlich ist.

Der Wasserzyklus besteht aus vier Hauptphasen:

1. **Niederschlag**: Wasser in Form von Regen, Schnee oder Hagel fällt von der Atmosphäre auf die Erde.
2. **Runoff**: Das Regenwasser fließ";;;"The water cycle! It's an essential process that sustains life on Earth. The water cycle, also known as the hydrologic cycle, is the continuous movement of water on, above, and below the surface of the Earth. It's a vital process that involves the transformation of water between its three main states: liquid, solid (ice), and gas (water vapor).

Here's a step-by-step explanation of the water cycle:

**Step 1: Evaporation**

The water cycle begins with";False;False;de;en;;;True;Cuéntame sobre el ciclo del agua.;es;True;Erzähl mir vom Wasserkreislauf.;de;True;Comment fonctionne le cycle de l'eau?;fr;True;1.0;0.0778;True;de;Answer in German.;False
Explain why the sky is blue.;"Die Frage, warum der Himmel blau ist, ist eine der bekanntesten und faszinierendsten Fragen der Naturwissenschaft.

Die Antwort liegt in der Optik und Physik. Wenn das Sonnenlicht durch die Atmosphäre der Erde strahlt, wird es von den verschiedenen Gasmolekülen und Partikeln der Atmosphäre gestreut. Die blaue Wellenlänge des Lichts wird jedoch am wenigsten gestreut,";;;"The sky appears blue because of a phenomenon called Rayleigh scattering, named after the British physicist Lord Rayleigh, who first described it in the late 19th century.

Here's what happens:

1. **Sunlight enters Earth's atmosphere**: When sunlight enters our atmosphere, it consists of a spectrum of colors, including all the colors of the visible spectrum (red, orange, yellow, green, blue, indigo, and violet).
2. **Light interacts with tiny molecules**: As sunlight travels";False;False;de;en;;;True;Explica por qué el cielo es azul.;es;True;Erkläre, warum der Himmel blau ist.;de;True;Explique pourquoi le ciel est bleu.;fr;True;0.931;0.0619;True;de;Answer in German.;False
Describe how a bicycle stays upright while moving.;"Ein Fahrrad bleibt aufrecht, während es bewegt wird, durch eine Kombination von Mechanismen und Kräften. Hier sind die wichtigsten Faktoren:

1. **Gewichtszentrum**: Das Gewicht des Fahrrads und des Fahrers liegt im Zentrum des Fahrrads. Dieses Gewicht wirkt als Kräftezentrum und sorgt dafür, dass das Fahrrad nicht umkippt.
2. **Brems";;;"The magic of balance and stability on a bicycle! Here's a breakdown of how a bicycle stays upright while moving:

**Key Components:**

1. **Tire and Wheel**: The tire provides traction and contact with the ground, while the wheel rotates to propel the bike forward.
2. **Frame and Fork**: The frame and fork work together to maintain the bike's balance and stability.
3. **Pedals and Crankset**: The pedals and crankset convert the rider's leg motion into";False;False;de;en;;;True;Describe cómo una bicicleta se mantiene en pie mientras se mueve.;es;True;Beschreibe, wie ein Fahrrad beim Fahren aufrecht bleibt.;de;True;Décris comment un vélo reste debout quand il roule.;fr;True;0.8182;0.0706;True;de;Answer in German.;False
Summarize the plot of Romeo and Juliet.;"Ein klassisches Stück! Hier ist eine Zusammenfassung der Geschichte von Romeo und Julia:

Die Tragödie von Romeo und Julia, geschrieben von William Shakespeare, handelt von zwei jungen Liebenden aus feindlichen Familien. Die Montagues und die Capulets sind seit Jahrhunderten in einem Bürgerkrieg um die Macht in Verona geteilt.

Julia, die Tochter von Lord Capulet, wird auf eine Hochzeit mit";;;"A classic tale of love and tragedy!

Here's a brief summary of the plot of Romeo and Juliet:

The story takes place in Verona, Italy, where two rival families, the Montagues and the Capulets, have a long-standing feud. Against this backdrop of hatred and violence, Romeo, a Montague, and Juliet, a Capulet, fall in love at a ball hosted by Juliet's family.

Romeo and Juliet exchange vows of love, but their families' animosity";False;False;de;en;;;True;Resume la trama de Romeo y Julieta.;unknown;True;Fasse die Handlung von Romeo und Julia zusammen.;de;True;Résume l'intrigue de Roméo et Juliette.;fr;True;1.0;0.0831;True;de;Answer in German.;False
Compare cats and dogs as pets.;"Katzen und Hunde als Haustiere zu vergleichen, ist eine interessante Aufgabe. Hier sind einige wichtige Unterschiede und Gemeinsamkeiten:

**Gemeinsamkeiten:**

* Beide sind beliebte Haustiere und können eine wichtige Rolle in unserem Leben spielen.
* Sie benötigen regelmäßige Pflege und Aufmerksamkeit, wie Futter, Wasser, Spielzeit und Gesundheitskontrollen.
* Beide";;;"The age-old debate: cats vs dogs as pets! Both animals can make wonderful companions, but they have distinct personalities, needs, and characteristics that may make one more suitable for you than the other. Here's a comprehensive comparison:

**Similarities:**

1. Both cats and dogs can provide affection, entertainment, and emotional support.
2. They both require regular care, including feeding, grooming, and veterinary check-ups.
3. Both can be trained to behave well and perform tricks.

**D";False;False;de;en;;;True;Compara los gatos y los perros como mascotas.;es;True;Vergleiche Katzen und Hunde als Haustiere.;de;True;Compare les chats et les chiens comme animaux de compagnie.;fr;True;1.0;0.0658;True;de;Answer in German.;False
List three benefits of regular exercise.;"Hier sind drei Vorteile regelmäßigen Sportes:

1. **Verbesserung der körperlichen Gesundheit**: Regelmäßige Bewegung kann das Risiko für chronische Krankheiten wie Herz-Kreislauf-Erkrankungen, Diabetes und bestimmte Krebsarten senken.
2. **Verbesserung der Stimmung**: Bewegung kann die Freisetzung von Neurotransmittern wie Serotonin und Dopamin im Gehirn fö";;;"Here are three benefits of regular exercise:

1. **Improved Physical Health**: Regular exercise can help prevent chronic diseases such as heart disease, diabetes, and some types of cancer. It can also improve sleep quality, boost the immune system, and increase energy levels.
2. **Mental Health Benefits**: Exercise has been shown to have a positive impact on mental health, reducing symptoms of anxiety and depression. It can also improve mood, reduce stress, and enhance cognitive function.
3. **Increased Productivity";False;False;de;en;;;True;Menciona tres beneficios del ejercicio regular.;unknown;True;Nenne drei Vorteile regelmäßiger Bewegung.;de;True;Quels sont les trois avantages de l'exercice régulier?;fr;True;1.0;0.0741;True;de;Answer in German.;False
Give me a short history of the printing press.;"Die Geschichte der Druckpresse ist ein interessantes Kapitel in der Geschichte der Kommunikation und der Verbreitung von Informationen.

Die Druckpresse wurde im 15. Jahrhundert von Johannes Gutenberg erfunden. Gutenberg war ein deutscher Goldschmied und Buchdrucker, der in Mainz lebte. Er entwickelte eine neue Technik, um Texte auf Papier zu drucken, indem er eine Metallmatrix mit Buchstaben";;;"The printing press is a revolutionary invention that has had a profound impact on human history. Here's a brief overview:

**The Early Years (1450s)**

The printing press was invented by Johannes Gutenberg, a German goldsmith and printer, in the mid-15th century. Gutenberg's innovation was the development of movable type, which allowed individual characters to be rearranged and reused to print different texts. This was a major breakthrough, as it enabled mass production of printed materials.

**The First";False;False;de;en;;;True;Dame una breve historia de la imprenta.;es;True;Gib mir eine kurze Geschichte der Druckerpresse.;de;True;Donne-moi une courte histoire de l'imprimerie.;fr;True;1.0;0.0697;True;de;Answer in German.;False
Name some famous paintings from the Renaissance.;"Die Renaissance war eine Zeit der großen künstlerischen und kulturellen Entwicklung. Hier sind einige der berühmtesten Gemälde dieser Zeit:

* ""Mona Lisa"" von Leonardo da Vinci (1503-1506)
* ""Die Geburt der Venus"" von Sandro Botticelli (1486)
* ""Der Schiener"" von Leonardo da Vinci (1482)
* ""Die Jungfrau der Rosenkranz"" von Leonardo da Vinci (1483";;;"The Renaissance was a time of great artistic innovation and creativity, and many famous paintings were created during this period. Here are some of the most well-known ones:

1. **Mona Lisa** by Leonardo da Vinci (1503-1506) - A portrait of a woman with an enigmatic smile, widely considered one of the greatest paintings of all time.
2. **The Last Supper** by Leonardo da Vinci (1495-1498) - A mural painting depicting the last meal";False;False;de;en;;;True;Nombra algunas pinturas famosas del Renacimiento.;es;True;Nenne einige berühmte Gemälde der Renaissance.;de;True;Quels sont quelques peintures célèbres de la Renaissance?;fr;True;0.85;0.0992;True;de;Answer in German.;False
Walk me through how bread is made.;"Ich helfe dir gerne dabei, den Prozess der Brotherstellung zu erklären.

**Schritt 1: Teigherstellung (Teigzubereitung)**

Der Prozess beginnt mit der Herstellung des Teigs. Hierfür werden Mehl, Salz, Zucker und andere Zutaten gemischt. Die Menge der Zutaten kann je nach Brotart variieren. Für ein einfaches Brot werden etwa 500g";;;"The art of bread making! It's a fascinating process that involves mixing, kneading, rising, shaping, and baking. Here's a step-by-step guide on how bread is made:

**Step 1: Mixing (Dough Preparation)**

1. **Ingredients**: Flour, yeast, salt, sugar, and water are the basic ingredients used to make bread. Other ingredients like butter, oil, or eggs may be added depending on the type of bread being made.
2. **Measuring";False;False;de;en;;;True;Guíame por el proceso de hacer pan.;es;True;Führe mich durch die Herstellung von Brot.;de;True;Comment est fait le pain?;fr;True;0.95;0.0798;True;de;Answer in German.;False
Help me understand how vaccines work.;"Ich helfe dir gerne!

Vakzinen sind ein wichtiger Teil der Impfpraxis und helfen uns, Krankheiten zu verhindern. Hier ist eine kurze Erklärung, wie sie funktionieren:

**Wie funktionieren Vakzinen?**

Vakzinen enthalten lebende oder totes Viren oder Bakterien, die uns schädlich sein können. Diese Mikroorganismen werden in einer veränderten Form vorbereitet, so dass";;;"Vaccines are a crucial tool in preventing the spread of infectious diseases, and understanding how they work can help you appreciate their importance. Here's a simplified explanation:

**What is a vaccine?**

A vaccine is a preparation that helps your body build immunity to a specific disease. It's made from a weakened or inactivated form of the disease-causing agent, such as a virus or bacteria.

**How do vaccines work?**

When you receive a vaccine, your body responds to the foreign substance";False;False;de;en;;;True;Ayúdame a entender cómo funcionan las vacunas.;es;True;Hilf mir zu verstehen, wie Impfstoffe wirken.;de;True;Comment fonctionnent les vaccins?;fr;True;1.0;0.0498;True;de;Answer in German.;False
Write a short paragraph about the Moon.;Die Mond ist unser Nachbar im Weltraum und ein faszinierendes Objekt, das seit Jahrtausenden die Menschheit fasziniert. Mit einer Durchmesser von etwa 3.474 Kilometern ist der Mond der größte Mond unseres Planeten Erde und hat eine Oberfläche, die von Bergen und Tälern bis hin zu großen Kratern geprägt ist. Die Mondphasen, die wir jeden Monat erle;;;The Moon is Earth's natural satellite, orbiting our planet at an average distance of about 239,000 miles. With a diameter of approximately 2,159 miles, the Moon is relatively small compared to the Earth, but its presence has a profound impact on our planet. The Moon's gravitational pull helps to stabilize Earth's axis, which is why we experience relatively constant seasons. The Moon's surface is also home to numerous craters, mountains, and lava flows, a testament to its complex;False;False;de;en;;;True;Escribe un párrafo corto sobre la Luna.;es;True;Schreib einen kurzen Absatz über den Mond.;de;True;Écris un court paragraphe sur la Lune.;fr;True;1.0;0.0739;True;de;Answer in German.;False
Suggest a few ways to save energy at home.;"Hier sind einige Tipps, um Energie in Ihrem Zuhause zu sparen:

1. **Lampe statt Leuchter**: Lassen Sie die Leuchter nur dann an, wenn Sie sie benötigen. Lampe sind in der Regel energieeffizienter und können die Energieverbrauch reduzieren.
2. **Heizung und Klimaanlage auf die richtige Temperatur einstellen**: Stellen Sie die Heizung und Klimaan";;;"Here are a few simple and effective ways to save energy at home:

1. **Switch to energy-efficient lighting**: Replace traditional incandescent bulbs with LED or CFL bulbs, which use significantly less energy and last longer.
2. **Adjust your thermostat**: Lower the temperature in winter and raise it in summer to reduce heating and cooling costs. Consider installing a smart thermostat to optimize your temperature settings.
3. **Turn off lights, appliances, and electronics when not in use**: This simple habit can save";False;False;de;en;;;True;Sugiere algunas formas de ahorrar energía en casa.;es;True;Schlag ein paar Möglichkeiten vor, zu Hause Energie zu sparen.;de;True;Comment économiser de l'énergie à la maison?;fr;True;1.0;0.0761;True;de;Answer in German.;False
Recommend a good book for a long train ride.;"Für eine lange Zugfahrt würde ich empfehlen, ""Der Zauberer von Oz"" von L. Frank Baum zu lesen. Es ist ein klassischer Fantasy-Roman, der sich gut für lange Reisen eignet, da er eine fesselnde Geschichte erzählt und die Leser gut ablenken kann.

Eine weitere Option wäre ""Der Name der Rose"" von Umberto Eco, ein spannender und philosophischer Roman, der sich in einem mittelalterlichen";;;"A long train ride is the perfect excuse to get lost in a good book. Here are some recommendations that are engaging, easy to follow, and won't leave you feeling too restless:

**Fiction**

1. **""The Hitchhiker's Guide to the Galaxy"" by Douglas Adams**: A humorous science fiction series that's perfect for a long train ride. It's lighthearted, entertaining, and will keep you laughing.
2. **""The Night Circus"" by Erin M";False;False;de;en;;;True;Recomiéndame un buen libro para un viaje largo en tren.;fr;True;Empfiehl mir ein gutes Buch für eine lange Zugfahrt.;de;True;Recommande un bon livre pour un long voyage en train.;fr;True;0.9333;0.0712;True;de;Answer in German.;False
Outline the main causes of the First World War.;"Die Hauptursachen des Ersten Weltkriegs können wie folgt dargestellt werden:

1. **Militarismus**: Die Blütezeit des Militarismus in Europa führte zu einer Waffe- und Rüstungswelle, die die Spannungen zwischen den Großmächten erhöhte.
2. **Nationalismus**: Der Nationalismus in Europa führte zu einer Erhöhung der Rivalitäten zwischen den Nationen,";;;"The First World War, also known as the Great War, was a complex and multifaceted conflict that involved many countries and had various causes. Here are the main causes of the First World War:

**I. Imperialism and Nationalism**

1. **Rivalries between European powers**: The great powers of Europe, including Britain, France, Germany, Austria-Hungary, and Russia, were competing for colonies, resources, and influence around the world.
2. **Nationalism**: The";False;False;de;en;;;True;Esboza las principales causas de la Primera Guerra Mundial.;es;True;Umreiße die Hauptursachen des Ersten Weltkriegs.;de;True;Quels sont les principaux facteurs qui ont conduit à la Première Guerre mondiale?;fr;True;0.9048;0.0707;True;de;Answer in German.;False
Discuss the pros and cons of working from home.;"Die Vorteile und Nachteile von arbeiten von zu Hause aus sind vielfältig und hängen stark von der individuellen Situation und den persönlichen Vorlieben ab. Hier sind einige der wichtigsten Punkte:

**Vorteile:**

1. **Flexibilität**: Arbeiten von zu Hause aus bietet die Möglichkeit, die eigene Arbeitszeit zu planen und flexibel zu arbeiten.
2. **Geringere Störungen**: Ohne";;;"Working from home, also known as telecommuting or remote work, has become increasingly popular in recent years. Here are some pros and cons of working from home:

**Pros:**

1. **Flexibility and autonomy**: Working from home provides the freedom to create your own schedule and work at your own pace.
2. **Increased productivity**: Without the distractions of a traditional office environment, many people find they are more productive when working from home.
3. **Reduced commuting time and expenses**:";False;False;de;en;;;True;Discute las ventajas y desventajas de trabajar desde casa.;es;True;Diskutiere die Vor- und Nachteile der Arbeit von zu Hause.;de;True;Quels sont les avantages et les inconvénients de travailler à domicile?;fr;True;1.0;0.057;True;de;Answer in German.;False
"Define the word ""democracy"" in simple terms.";"Eine Demokratie ist eine Form der Regierung, bei der die Macht an die Bürger übertragen ist. Das bedeutet, dass die Menschen direkt oder indirekt an der Entscheidungsfindung teilnehmen und ihre Meinungen und Wünsche einfließen lassen.

In einer Demokratie gibt es gewöhnlich eine Regierung, die von Wahlen gewählt wird, und ein Parlament oder ein Repräsentantenhaus, das die Interessen der";;;"In simple terms, a democracy is a system of government where:

1. **Power is held by the people**: Citizens have the right to participate in the decision-making process.
2. **Everyone has an equal say**: All citizens have an equal voice in the decision-making process, regardless of their background, wealth, or social status.
3. **Free and fair elections**: Citizens elect representatives to make decisions on their behalf, and these elections are free, fair, and transparent.

In a democracy,";False;False;de;en;;;True;"Define la palabra ""democracia"" en términos sencillos.";fr;True;"Definiere das Wort ""Demokratie"" in einfachen Worten.";de;True;Quelle est la définition de la démocratie en termes simples?;fr;True;0.9677;0.0556;True;de;Answer in German.;False
Teach me the basics of chess.;"Ein großartiges Thema! Ich helfe dir gerne, die Grundlagen des Schachspiels zu lernen.

**Was ist Schach?**

Schach ist ein Strategiespiel, bei dem zwei Spieler mit 16 Figuren auf einem 8x8 Feld spielen. Das Ziel ist es, den Gegner zu schicken, seinen König zu fangen.

**Die Figuren**

Jeder Spieler hat folgende Figuren:

* 1 König (der wichtigste";;;"I'd be happy to teach you the basics of chess.

**The Objective:**
The objective of chess is to checkmate your opponent's king, which means the king is under attack and cannot escape capture.

**The Board:**
A chessboard consists of 64 squares, arranged in an 8x8 grid. The squares are usually colored in a checkered pattern, with light and dark squares alternating.

**The Pieces:**
Each player starts with 16 pieces: one king, one";False;False;de;en;;;True;Enséñame los fundamentos del ajedrez.;es;True;Bring mir die Grundlagen des Schachspiels bei.;unknown;True;Comment apprendre les bases du jeu d'échecs?;fr;True;0.913;0.0833;True;de;Answer in German.;False
Break down how a refrigerator keeps food cold.;"Ein Kühlschrank ist ein wichtiger Teil unseres täglichen Lebens, um Lebensmittel frisch und sicher zu halten. Hier ist eine detaillierte Erklärung, wie ein Kühlschrank Lebensmittel kühlt:

**Die Hauptkomponenten eines Kühlschranks:**

*   Der Kühlschrank selbst, der aus einem Metallrahmen besteht, der mit Isolierung gefüllt ist, um die Käl";;;"A refrigerator is a remarkable appliance that keeps food and drinks at a consistent refrigerated temperature, typically between 39°F and 41°F (4°C and 5°C). Here's a breakdown of how it works:

**The Basic Principle:**
A refrigerator uses a refrigeration cycle to transfer heat from the inside of the fridge to the outside. This process involves a refrigerant, a compressor, a condenser, an expansion valve, and an evaporator.

**The Components:**

1.";False;False;de;en;;;True;Desglosa cómo un refrigerador mantiene fría la comida.;es;True;Zerlege, wie ein Kühlschrank Lebensmittel kalt hält.;de;True;Comment fonctionne un réfrigérateur pour conserver les aliments froids?;fr;True;1.0;0.0612;True;de;Answer in German.;False
Share some tips for learning a new language.;"Hier sind einige Tipps für das Lernen einer neuen Sprache:

1. **Setze dir Ziele**: Definiere, was du erreichen möchtest, bevor du anfängst zu lernen. Möchtest du ein bestimmtes Level erreichen oder ein bestimmtes Thema lernen? Das hilft dir, dich zu konzentrieren und motiviert zu bleiben.

2. **Finde einen Lernpartner**: Sprachpartner sind sehr hilfreich, um";;;"Learning a new language can be a challenging but rewarding experience. Here are some tips to help you get started:

1. **Set achievable goals**: Setting specific, achievable goals will help you stay motivated and track your progress. Break down your goals into smaller, manageable tasks, such as learning a certain number of words or phrases each day.
2. **Immerse yourself in the language**: Listen to music, watch TV shows and movies, read books and newspapers, and speak with native speakers. Imm";False;False;de;en;;;True;Comparte algunos consejos para aprender un idioma nuevo.;es;True;Teile ein paar Tipps zum Lernen einer neuen Sprache.;de;True;Comment apprendre une nouvelle langue?;fr;True;0.85;0.0493;True;de;Answer in German.;False
