prompt;output;answer;aliases;baseline_en;ref_role_leak;baseline_role_leak;ref_language;baseline_language;ref_answer_correct;baseline_answer_correct;passed_gate;prompt_de;prompt_de_language;prompt_de_ok;prompt_fr;prompt_fr_language;prompt_fr_ok;prompt_es;prompt_es_language;prompt_es_ok;prompt_it;prompt_it_language;prompt_it_ok;prompt_pt;prompt_pt_language;prompt_pt_ok;ref_target_score;ref_uppercase_score;ref_attr_ok;target_cell;instruction;output_hand_fixed
On which continent is the Amazon rainforest located?;Die Amazonas-Wälder befinden sich auf dem Kontinent Südamerika.;South America;Amerique du Sud|América del Sur|Südamerika|Sudamérica;The Amazon rainforest is located on the continent of South America.;False;False;de;en;True;True;True;Auf welchem Kontinent liegt der Amazonas-Regenwald?;de;True;Sur quel continent se trouve la forêt amazonienne ?;fr;True;¿En qué continente se encuentra la selva amazónica?;unknown;True;;;;;;;1.0;0.0926;True;de;Answer in German.;False
What is the capital of Iceland?;Die Hauptstadt Islands ist Reykjavík.;Reykjavik;Reykjavik;The capital of Iceland is Reykjavik.;False;False;unknown;en;True;True;True;Was ist die Hauptstadt von Island?;de;True;Quelle est la capitale de l'Islande ?;fr;True;¿Cuál es la capital de Islandia?;es;True;;;;;;;0.5;0.125;True;de;Answer in German.;False
Who composed Bolero?;Bolero wurde von Maurice Ravel komponiert.;Ravel;;"The famous piece ""Bolero"" was composed by Maurice Ravel, a French composer and pianist. It was first performed in 1928 and has since become one of Ravel's most popular and recognizable works.";False;False;de;en;True;True;True;Wer hat Bolero komponiert?;de;True;Qui a composé le Boléro ?;fr;True;¿Quién compuso Bolero?;unknown;True;;;;;;;1.0;0.0833;True;de;Answer in German.;False
Which is the largest country in the world by area?;Das größte Land der Welt nach Fläche ist Russland.;Russia;Russie|Rusia|Russland;The largest country in the world by area is Russia, covering approximately 17.1 million square kilometers (6.6 million square miles).;False;False;de;en;True;True;True;Welches ist das größte Land der Welt nach Fläche?;de;True;Quelle est la plus grande pays du monde par superficie?;fr;True;¿Cuál es el país más grande del mundo por área?;es;True;;;;;;;1.0;0.122;True;de;Answer in German.;True
How many players from one team are on the field in soccer?;In Fußball (Soccer) gibt es 11 Spieler von einem Team auf dem Platz.;11;onze;In soccer, each team is allowed to have 11 players on the field at a time.;False;False;de;en;True;True;True;Wie viele Spieler von einem Team auf dem Platz sind im Fußball?;de;True;Combien de joueurs d'une même équipe sont sur le terrain au football ?;fr;True;¿Cuántos jugadores de un equipo están en el campo en el fútbol?;es;True;;;;;;;0.7778;0.1176;True;de;Answer in German.;False
What is the capital of Uganda?;Die Hauptstadt Ugandas ist Kampala.;Kampala;;The capital of Uganda is Kampala.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Uganda?;de;True;Quelle est la capitale de l'Ouganda?;fr;True;¿Cuál es la capital de Uganda?;es;True;;;;;;;1.0;0.1333;True;de;Answer in German.;False
Which planet has the Great Red Spot?;Die Rote Spot, auch bekannt als der Große Rot Fleck, befindet sich auf dem Planeten Jupiter.;Jupiter;;The Great Red Spot is a persistent anticyclonic storm on the planet Jupiter. It's a massive storm that has been raging for centuries, and it's one of the most distinctive features of Jupiter's atmosphere.;False;False;de;en;True;True;True;Welcher Planet hat den Großen Roten Fleck?;de;True;Quelle planète possède la Grande Tache rouge ?;fr;True;¿Cuál planeta tiene el Gran Mancha Roja?;es;True;;;;;;;1.0;0.1081;True;de;Answer in German.;False
What is the capital of Cuba?;Die Hauptstadt Kubas ist Havanna (Havana).;Havana;Havane|La Habana|Habana;The capital of Cuba is Havana.;False;False;de;en;True;True;True;Was ist die Hauptstadt von Kuba?;de;True;Quelle est la capitale de Cuba?;fr;True;¿Cuál es la capital de Cuba?;es;True;;;;;;;1.0;0.1471;True;de;Answer in German.;False
Which river flows through Paris?;Der Seine fließt durch Paris.;Seine;Sena;The Seine River flows through Paris, the capital city of France.;False;False;de;en;True;True;True;Welche Fluss durch Paris fließt?;de;True;Quelle est la capitale du Japon?;fr;True;¿Cuál es el río que fluye a través de París?;es;True;;;;;;;1.0;0.125;True;de;Answer in German.;False
Which desert is the largest cold desert on Earth?;Die größte kalte Wüste auf der Erde ist der Antarktis.;Antarctic;Antarctique|Antártida|Antarktis;The largest cold desert on Earth is the Antarctic Desert.;False;False;de;en;True;True;True;Welche Wüste ist die größte Kältewüste der Erde?;de;True;Quel désert est le plus grand désert glacial de la Terre?;fr;True;¿Cuál es el desierto más grande de desierto frío en la Tierra?;es;True;;;;;;;1.0;0.0909;True;de;Answer in German.;False
